,model,method,mean_tbc,std_tbc,mean_wiki,std_wiki,self n=2,self n=3,self n=4,WT103 n=2,WT103 n=3,WT103 n=4,TBC n=2,TBC n=3,TBC n=4
225,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=0.1,sample=False,top_k=0",sequential,0.02,0.0,0.122,0.0,0.0,0.0,0.0,0.00038095238095238096,0.0014,0.002105263157894737,0.0007619047619047619,0.0016,0.002105263157894737
226,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=0.1,sample=True,top_k=0",sequential,0.163,0.024,0.057,0.003,0.0082855321861058,0.013686336100516042,0.02067981934870454,0.014234119396643298,0.034776755665245684,0.05633468029474685,0.017420862545145528,0.03836661431456136,0.05823627287853577
227,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=0.1,sample=True,top_k=100",sequential,0.14400000000000002,0.009000000000000001,0.055999999999999994,0.005,0.011650074136835416,0.02147170655334377,0.033641317223406776,0.01885193814869731,0.047864012525162154,0.07604832977967306,0.021817411565346324,0.05121896667412212,0.07746979388770434
228,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=1,sample=False,top_k=0",sequential,0.02,0.0,0.122,0.0,0.0,0.0,0.0,0.00038095238095238096,0.0014,0.002105263157894737,0.0007619047619047619,0.0016,0.002105263157894737
229,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=1,sample=True,top_k=0",sequential,0.064,0.01,0.048,0.004,0.5962892741061755,0.8324922904401458,0.9109529343404997,0.5139490790899242,0.8065601345668629,0.9142940151074956,0.5343986998916577,0.8281469021586768,0.9248983149331784
230,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=1,sample=True,top_k=100",sequential,0.11900000000000001,0.018000000000000002,0.054000000000000006,0.005,0.389687235841082,0.6322543015456401,0.7460725075528701,0.33572837418991264,0.6466899970836979,0.7794561933534743,0.3395322626091857,0.6501895596383785,0.7880664652567976
231,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=10,sample=False,top_k=0",sequential,0.02,0.0,0.122,0.0,0.0,0.0,0.0,0.00038095238095238096,0.0014,0.002105263157894737,0.0007619047619047619,0.0016,0.002105263157894737
232,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=10,sample=True,top_k=0",sequential,0.009000000000000001,0.0,0.01,0.0,0.9495671810312383,0.9935241549022147,0.9986614910989158,0.9210889474344499,0.9902862323533221,0.9985276402088074,0.9347635177518504,0.9930060872943919,0.9986614910989158
233,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=10,sample=True,top_k=100",sequential,0.028999999999999998,0.001,0.027999999999999997,0.001,0.8537956888472352,0.9880521361332368,0.998755599800896,0.7719072164948454,0.9693458846246681,0.9963912394225983,0.7767104029990628,0.9755008447984552,0.9982578397212544
234,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",sequential,0.063,0.001,0.07,0.01,0.3096973094170404,0.5527156549520766,0.7353827606992164,0.2837724215246637,0.5787104269532385,0.7787823990355636,0.304512331838565,0.6010746442056346,0.7986738999397227
235,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=0.1,sample=True,top_k=0",sequential,0.065,0.005,0.07400000000000001,0.006999999999999999,0.30439781546421385,0.5491949910554562,0.7357176033441709,0.2699051451566542,0.5624627310673822,0.7722557671466171,0.2992239149180799,0.5952593917710197,0.7970274036228518
236,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=0.1,sample=True,top_k=100",sequential,0.062,0.006,0.078,0.013999999999999999,0.31532025785214646,0.5707996023292146,0.7691061699307907,0.28281442874777124,0.5889788382332055,0.8012074804888824,0.3050336030722809,0.6195142735406902,0.8255043439846856
237,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=1,sample=False,top_k=0",sequential,0.062,0.008,0.07200000000000001,0.011000000000000001,0.3161081385525204,0.5551663747810858,0.7326567706755529,0.29188960856096874,0.5769118505545826,0.7724931838836716,0.3104759222754154,0.6024518388791593,0.7915783096031506
238,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=1,sample=True,top_k=0",sequential,0.033,0.003,0.037000000000000005,0.004,0.7091605218377766,0.9088503381358424,0.9737484737484737,0.6059273964832672,0.8695971773007939,0.9598595848595849,0.647334089619966,0.8969420758600412,0.9748168498168498
239,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=1,sample=True,top_k=100",sequential,0.048,0.002,0.053,0.003,0.5900725041829337,0.8537994799190985,0.9562350119904077,0.4892638036809816,0.8091592025426178,0.9388489208633094,0.524261015058561,0.8409419242993355,0.959832134292566
240,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=10,sample=False,top_k=0",sequential,0.066,0.004,0.08,0.009000000000000001,0.315671117357695,0.5688273852876912,0.7576719576719577,0.28011243851018974,0.5852876911871814,0.7906273620559335,0.30302178496134924,0.6129643117261471,0.8166288737717309
241,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=10,sample=True,top_k=0",sequential,0.008,0.0,0.009000000000000001,0.001,0.9526837021640787,0.9943246311010215,0.9988279723922385,0.9204059175938378,0.9910455290705007,0.998567521812736,0.9380119819048783,0.9935679152478244,0.9988279723922385
